"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.0442,4.67545,0,0,0,0,0,0
0.0443,4.67546,0,0,0,0,0,0
0.0444,4.67547,0,0,0,0,0,0
0.0445,4.67551,0,0,0,0,0,0
0.0446,4.67552,0,0,0,0,0,0
0.0447,4.67553,0,0,0,0,0,0
0.0448,4.67554,0,0,0,0,0,0
0.0449,4.67555,0,0,0,0,0,0
0.045,4.67558,0,0,0,0,0,0
0.0451,4.6756,0,0,0,0,0,0
0.0452,4.67561,0,0,0,0,0,0
0.0453,4.67562,0,0,0,0,0,0
0.0454,4.67563,0,0,0,0,0,0
0.0455,4.67566,0,0,0,0,0,0
0.0456,4.67567,0,0,0,0,0,0
0.0457,4.67569,0,0,0,0,0,0
0.0458,4.6757,0,0,0,0,0,0
0.0459,4.67571,0,0,0,0,0,0
0.046,4.67575,0,0,0,0,0,0
0.0461,4.67576,0,0,0,0,0,0
0.0462,4.67577,0,0,0,0,0,0
0.0463,4.67578,0,0,0,0,0,0
0.0464,4.67579,0,0,0,0,0,0
0.0465,4.67583,0,0,0,0,0,0
0.0466,4.67584,0,0,0,0,0,0
0.0467,4.67585,0,0,0,0,0,0
0.0468,4.67586,0,0,0,0,0,0
0.0469,4.67587,0,0,0,0,0,0
0.047,4.67591,0,0,0,0,0,0
0.0471,4.67592,0,0,0,0,0,0
0.0472,4.67593,0,0,0,0,0,0
0.0473,4.67594,0,0,0,0,0,0
0.0474,4.67596,0,0,0,0,0,0
0.0475,4.67599,0,0,0,0,0,0
0.0476,4.676,0,0,0,0,0,0
0.0477,4.67601,0,0,0,0,0,0
0.0478,4.67602,0,0,0,0,0,0
0.0479,4.67603,0,0,0,0,0,0
0.048,4.67607,0,0,0,0,0,0
0.0481,4.67608,0,0,0,0,0,0
0.0482,4.67609,0,0,0,0,0,0
0.0483,4.6761,0,0,0,0,0,0
0.0484,4.67611,0,0,0,0,0,0
0.0485,4.67615,0,0,0,0,0,0
0.0486,4.67616,0,0,0,0,0,0
0.0487,4.67617,0,0,0,0,0,0
0.0488,4.67618,0,0,0,0,0,0
0.0489,4.67619,0,0,0,0,0,0
0.049,4.67623,0,0,0,0,0,0
0.0491,4.67624,0,0,0,0,0,0
0.0492,4.67625,0,0,0,0,0,0
0.0493,4.67626,0,0,0,0,0,0
0.0494,4.67627,0,0,0,0,0,0
0.0495,4.6763,0,0,0,0,0,0
0.0496,4.67632,0,0,0,0,0,0
0.0497,4.67633,0,0,0,0,0,0
0.0498,4.67634,0,0,0,0,0,0
0.0499,4.67635,0,0,0,0,0,0
0.05,4.67639,0,0,0,0,0,0
0.0501,4.6764,0,0,0,0,0,0
0.0502,4.67641,0,0,0,0,0,0
0.0503,4.67642,0,0,0,0,0,0
0.0504,4.67643,0,0,0,0,0,0
0.0505,4.67647,0,0,0,0,0,0
0.0506,4.67648,0,0,0,0,0,0
0.0507,4.67649,0,0,0,0,0,0
0.0508,4.6765,0,0,0,0,0,0
0.0509,4.67651,0,0,0,0,0,0
0.051,4.67655,0,0,0,0,0,0
0.0511,4.67656,0,0,0,0,0,0
0.0512,4.67657,0,0,0,0,0,0
0.0513,4.67658,0,0,0,0,0,0
0.0514,4.67659,0,0,0,0,0,0
0.0515,4.67662,0,0,0,0,0,0
0.0516,4.67663,0,0,0,0,0,0
0.0517,4.67664,0,0,0,0,0,0
0.0518,4.67665,0,0,0,0,0,0
0.0519,4.67666,0,0,0,0,0,0
0.052,4.6767,0,0,0,0,0,0
0.0521,4.67671,0,0,0,0,0,0
0.0522,4.67672,0,0,0,0,0,0
0.0523,4.67674,0,0,0,0,0,0
0.0524,4.67675,0,0,0,0,0,0
0.0525,4.67678,0,0,0,0,0,0
0.0526,4.67679,0,0,0,0,0,0
0.0527,4.6768,0,0,0,0,0,0
0.0528,4.67681,0,0,0,0,0,0
0.0529,4.67682,0,0,0,0,0,0
0.053,4.67686,0,0,0,0,0,0
0.0531,4.67687,0,0,0,0,0,0
0.0532,4.67688,0,0,0,0,0,0
0.0533,4.6769,0,0,0,0,0,0
0.0534,4.67691,0,0,0,0,0,0
0.0535,4.67694,0,0,0,0,0,0
0.0536,4.67695,0,0,0,0,0,0
0.0537,4.67696,0,0,0,0,0,0
0.0538,4.67697,0,0,0,0,0,0
0.0539,4.67698,0,0,0,0,0,0
0.054,4.67702,0,0,0,0,0,0
0.0541,4.67703,0,0,0,0,0,0
0.0542,4.67704,0,0,0,0,0,0
0.0543,4.67705,0,0,0,0,0,0
0.0544,4.67706,0,0,0,0,0,0
0.0545,4.6771,0,0,0,0,0,0
0.0546,4.67711,0,0,0,0,0,0
0.0547,4.67712,0,0,0,0,0,0
0.0548,4.67713,0,0,0,0,0,0
0.0549,4.67714,0,0,0,0,0,0
0.055,4.67718,0,0,0,0,0,0
0.0551,4.67719,0,0,0,0,0,0
0.0552,4.6772,0,0,0,0,0,0
0.0553,4.67721,0,0,0,0,0,0
0.0554,4.67722,0,0,0,0,0,0
0.0555,4.67725,0,0,0,0,0,0
0.0556,4.67727,0,0,0,0,0,0
0.0557,4.67728,0,0,0,0,0,0
0.0558,4.67729,0,0,0,0,0,0
0.0559,4.6773,0,0,0,0,0,0
0.056,4.67734,0,0,0,0,0,0
0.0561,4.67735,0,0,0,0,0,0
0.0562,4.67736,0,0,0,0,0,0
0.0563,4.67737,0,0,0,0,0,0
0.0564,4.67738,0,0,0,0,0,0
0.0565,4.67741,0,0,0,0,0,0
0.0566,4.67743,0,0,0,0,0,0
0.0567,4.67744,0,0,0,0,0,0
0.0568,4.67745,0,0,0,0,0,0
0.0569,4.67746,0,0,0,0,0,0
0.057,4.67749,0,0,0,0,0,0
0.0571,4.6775,0,0,0,0,0,0
0.0572,4.67751,0,0,0,0,0,0
0.0573,4.67752,0,0,0,0,0,0
0.0574,4.67753,0,0,0,0,0,0
0.0575,4.67757,0,0,0,0,0,0
0.0576,4.67758,0,0,0,0,0,0
0.0577,4.67759,0,0,0,0,0,0
0.0578,4.6776,0,0,0,0,0,0
0.0579,4.67761,0,0,0,0,0,0
0.058,4.67765,0,0,0,0,0,0
0.0581,4.67766,0,0,0,0,0,0
0.0582,4.67767,0,0,0,0,0,0
0.0583,4.67768,0,0,0,0,0,0
0.0584,4.67769,0,0,0,0,0,0
0.0585,4.67773,0,0,0,0,0,0
0.0586,4.67774,0,0,0,0,0,0
0.0587,4.67775,0,0,0,0,0,0
0.0588,4.67776,0,0,0,0,0,0
0.0589,4.67777,0,0,0,0,0,0
0.059,4.67781,0,0,0,0,0,0
0.0591,4.67782,0,0,0,0,0,0
0.0592,4.67783,0,0,0,0,0,0
0.0593,4.67785,0,0,0,0,0,0
